scope_type:  CONSTRUCTION
scope_id:    con_2e2dcdf2591b0819

resource_code     determinant  name                                                                                                                                                                                                                                                     unit      estimate_price  total_consumption  estimate_amount       estimates_count
С1017-0729-0320   19           Канат пропитанный (каболка) из льняного и джутового волокна, канализационный и водопроводный, отжатый, диаметр 6-8 мм                                                                                                                                    кг        755.8100        0.700000           529.0670000000        1
С1191-0101-0001   31           Воздуховоды алюминиевые гибкие гофрированные, диаметр 100 мм                                                                                                                                                                                             м2        432.4200        1.215200           525.4767840000        1
С1113-0315-1011   19           Фиксаторы защитные для стяжного болта опалубки пластиковые, форма конус, диаметр 22 мм                                                                                                                                                                   100 шт    159.4500        328.777188         52423.5226266000      2
С1017-1514-0044   19           Шурупы самонарезающие стальные оксидированные с потайной головкой и крестообразным шлицем, остроконечные, диаметр 3,5 мм, длина 25 мм                                                                                                                    100 шт    33.0300         158.544500         5236.7248350000       1
С1145-0907-0030   19           Растворитель Р-4                                                                                                                                                                                                                                         т         260783.3000     0.197928           51616.3170024000      2
С1191-0103-0078   31           Воздуховоды из оцинкованной стали, прямой участок, толщина 0,7 мм, периметр от 1100 до 1600 мм                                                                                                                                                           м2        1520.9600       33.877900          51526.9307840000      1
С1017-1401-0002   19           Герметик пенополиуретановый (пена монтажная) универсальный, объем 1000 мл                                                                                                                                                                                шт        290.5000        177.045000         51431.5725000000      1
С1023-0102-1118   19           Песок природный для строительных работ II класс, средний                                                                                                                                                                                                 м3        966.6800        5.252359           5077.3503981200       1
С401-100-36       50           Средний разряд работы 3,6                                                                                                                                                                                                                                чел.-ч    1330.2000       3789.107800        5040271.1955600000    1
С291-1301-038     37           Машины поливомоечные, вместимость цистерны 6 м3                                                                                                                                                                                                          маш.-ч    2759.4200       1816.485196        5012445.5795463200    1
С291-0703-001     37           Бетоносмесители гравитационные передвижные, объем барабана 65 л                                                                                                                                                                                          маш.-ч    2.1600          2.421045           5.2294572000          2
С1017-0729-0101   19           Очес льняной                                                                                                                                                                                                                                             кг        545.8800        0.900000           491.2920000000        1
С401-100-37       50           Средний разряд работы 3,7                                                                                                                                                                                                                                чел.-ч    1645.1400       297.887306         490066.3225928400     1
СТПрайс-лист      13           Диффузор приточный DVS-P-100                                                                                                                                                                                                                             шт        162.4000        3.000000           487.2000000000        1
С1072-0501-0034   31           Перила-ограждения металлические маршевых лестниц, марка ОМ 17-1, длина ограждения в плане 3070 мм, высота стоек 1060 мм, высота решетчатого заполнения 710 мм                                                                                            м         3303.6200       14.586289          48187.5560661800      1
С1191-0103-0014   31           Воздуховоды из оцинкованной стали, жесткие, спирально-навивные, прямой участок, толщина 0,55 мм, диаметр 315 мм                                                                                                                                          м2        856.8300        5.597300           4795.9345590000       1
С401-100-20       50           Средний разряд работы 2,0                                                                                                                                                                                                                                чел.-ч    1384.7100       34336.047060       47545467.7244526000   2
С1017-0605-0041   19           Ленты изоляционные хлопчатобумажные прорезиненные для электромонтажных и ремонтных работ, цвет черный, ширина 20 мм, толщина 0,35 мм                                                                                                                     м         5.7100          826.535940         4719.5202174000       1
С1017-0601-0042   19           Ленты эластичные самоклеящиеся для профилей направляющих 50х30000 мм                                                                                                                                                                                     м         8.4100          556.020000         4676.1282000000       1
С1182-0612-0021   23           Пьедестал под умывальник, прямоугольный, керамический, размеры 180х185х650 мм                                                                                                                                                                            шт        4668.4600       1.000000           4668.4600000000       1
С401-100-25       50           Средний разряд работы 2,5                                                                                                                                                                                                                                чел.-ч    1184.7100       393.267800         465908.2953380000     1
С291-0501-017     37           Краны башенные, грузоподъемность 8 т                                                                                                                                                                                                                     маш.-ч    1505.1100       30953.214308       46587992.3871138800   6
СТПрайс-лист      13           Воздушный фильтр-бокс Shuft  FBCr 315                                                                                                                                                                                                                    шт        4650.0000       1.000000           4650.0000000000       1
С291-0708-024     37           Растворосмесители передвижные, объем барабана 65 л                                                                                                                                                                                                       маш.-ч    681.2000        681.718114         464386.3792568000     2
С1084-0303-0035   20           Сталь арматурная горячекатаная периодического профиля, класс A-III, диаметр 20-22 мм                                                                                                                                                                     т         86658.0000      5.353200           463897.6056000000     1
СТПрайс-лист      13           Клапан регулирующий КВК-200М                                                                                                                                                                                                                             шт        576.8800        8.000000           4615.0400000000       1
С291-0605-011     37           Погрузчики одноковшовые универсальные фронтальные пневмоколесные, номинальная вместимость основного ковша 2,6 м3, грузоподъемность 5 т                                                                                                                   маш.-ч    2878.4300       15.995846          46042.9230017800      1
С1204-0101-1043   13           Выключатель открытого монтажа, одноклавишный, с индикатором, 10 А, цвет белый, IP54                                                                                                                                                                      шт        230.2700        2.000000           460.5400000000        1
С1144-0204-0142   19           Краска масляная МА-0115, мумия, сурик железный                                                                                                                                                                                                           кг        168.3900        2.705044           455.5023591600        2
СТПрайс-лист      21           Обвод полипропиленовый Ф 20 мм                                                                                                                                                                                                                           шт        45.9000         1.000000           45.9000000000         1
С1017-1705-0021   19           Карборунд                                                                                                                                                                                                                                                кг        1035.0200       434.513730         449730.4008246000     1
С291-0505-015     37           Краны на автомобильном ходу, грузоподъемность 16 т                                                                                                                                                                                                       маш.-ч    2912.3500       153.660057         447511.8670039500     3
С1113-0102-0006   30           Блок дверной входной из ПВХ-профилей, с простой коробкой, однопольный, с клювовой фурнитурой, с двухкамерным стеклопакетом толщиной 32 мм, площадь от 1,51 до 2 м2                                                                                       м2        23611.1300      1.890000           44625.0357000000      1
С291-1704-034     37           Агрегаты сварочные с двигателем внутреннего сгорания для ручной дуговой сварки, сварочный ток до 400 А, количество постов 1                                                                                                                              маш.-ч    230.9700        192.960000         44567.9712000000      2
С1243-0102-0021   21           Трубы гибкие гофрированные, легкие, из самозатухающего ПВХ, с зондом, номинальный диаметр 16 мм                                                                                                                                                          м         10.8300         41.057200          444.6494760000        1
СТПрайс-лист      19           Умывальник фарфоровый в комплекте с кронштейнами без отверстия под смеситель 570х424 мм                                                                                                                                                                  компл     4408.0000       1.000000           4408.0000000000       1
СТПрайс-лист      21           Сифон РМС СУ-01 для умывальника (литой) регулируемый по высоте                                                                                                                                                                                           шт        440.0000        1.000000           440.0000000000        1
С291-0707-011     37           Растворонасосы, производительность 4 м3/ч                                                                                                                                                                                                                маш.-ч    30.3500         144.962640         4399.6161240000       1
С1017-1507-0025   19           Дюбели полиэтиленовые распорные, диаметр 10 мм, длина 40 мм                                                                                                                                                                                              1000 шт   948.8900        4.621091           4384.9070389900       2
С291-1402-001     37           Автомобили бортовые, грузоподъемность до 5 т                                                                                                                                                                                                             маш.-ч    954.6800        456.107434         435436.6450911200     3
С1191-0103-0073   31           Воздуховоды из оцинкованной стали, прямой участок, толщина 0,6 мм, диаметр до 250 мм                                                                                                                                                                     м2        1262.1700       34.383600          43397.9484120000      1
С1194-0203-0018   30           Глушитель шума вентиляционных установок, трубчатый из листовой оцинкованной стали, круглого сечения на ниппельном соединении, длина корпуса 600 мм, внутренний диаметр 315 мм                                                                            шт        4303.8600       1.000000           4303.8600000000       1
С1072-0603-0195   31           Профиль стальной оцинкованный стоечный, размеры 50х50 мм, толщина 0,6 мм                                                                                                                                                                                 м         151.9200        2721.242800        413411.2061760000     1
С401-100-36       50           Средний разряд работы 3,6                                                                                                                                                                                                                                чел.-ч    1626.0900       25199.564124       40976759.2263951600   2
С1017-2008-0051   19           Ветошь хлопчатобумажная цветная                                                                                                                                                                                                                          кг        116.0700        350.280000         40656.9996000000      1
С1243-0411-0030   21           Слив гофрированный для унитаза из армированного полипропилена с резиновым уплотнителем, диаметр выпуска 110 мм, длина 500 мм                                                                                                                             шт        367.5800        11.000000          4043.3800000000       1
С401-100-15       50           Средний разряд работы 1,5                                                                                                                                                                                                                                чел.-ч    1327.5500       3015.230400        4002869.1175200000    1
СТПрайс-лист      13           Диффузор вытяжной DVS-125                                                                                                                                                                                                                                шт        198.0000        2.000000           396.0000000000        1
С1191-0203-0003   31           Воздухораспределитель панельный перфорированный с камерой статического давления, размеры 595х595 мм                                                                                                                                                      компл     7890.7500       5.000000           39453.7500000000      1
СТПрайс-лист      13           Потолочный диффузор "Арктос" 4 АПР 600х600                                                                                                                                                                                                               шт        977.4000        4.000000           3909.6000000000       1
С1144-0204-0142   19           Краска масляная МА-0115, мумия, сурик железный                                                                                                                                                                                                           кг        183.9900        2.120000           390.0588000000        1
СТПрайс-лтст      13           Прямоугольный кассетный фильтр с фильтрующей вставкой ФЛПК 600х350                                                                                                                                                                                       шт        3892.0000       1.000000           3892.0000000000       1
С1111-0306-0071   19           Доска обрезная хвойных пород, естественной влажности, длина 2-6,5 м, ширина 100-250 мм, толщина 25 мм, сорт III                                                                                                                                          м3        45950.0100      0.836192           38423.0307619200      1
С1017-0712-0024   19           Пленка полиэтиленовая, толщина 0,15 мм                                                                                                                                                                                                                   м2        23.4100         1637.725000        38339.1422500000      1
С1081-0211-0001   19           Поковки из квадратных заготовок, масса 1,5-4,5 кг                                                                                                                                                                                                        т         105058.2000     0.364393           38282.4726726000      2
С291-0702-011     37           Автобетононасосы, производительность 65 м3/ч                                                                                                                                                                                                             маш.-ч    1253.3300       304.997371         382262.3549954300     2
С1017-2008-0051   19           Ветошь хлопчатобумажная цветная                                                                                                                                                                                                                          кг        122.5800        310.366950         38044.7807310000      1
С1013-0517-0002   19           Канифоль сосновая                                                                                                                                                                                                                                        кг        634.2300        0.060000           38.0538000000         1
С1084-0303-0031   20           Сталь арматурная горячекатаная периодического профиля, класс A-III, диаметр 10 мм                                                                                                                                                                        т         91162.5000      4.100700           373830.0637500000     2
С1122-0510-0066   19           Плиты теплоизоляционные из минеральной ваты на основе базальтовых пород для вентилируемых фасадных систем, группа горючести НГ, плотность 90 кг/м3, теплопроводность при 10/25 °C не более 0,035/0,037 Вт/(мхК), прочность на сжатие не менее 0,015 МПа  м3        16516.4000      22.524800          372028.6067200000     1
С1017-1506-0022   19           Гвозди стальные толевые, диаметр 2-3 мм, длина 20-40 мм                                                                                                                                                                                                  кг        118.1400        31.348000          3703.4527200000       1
С1191-0109-0139   19           Изделия фасонные для воздуховодов из оцинкованной стали, толщина 0,5-0,55 мм, диаметр 125 мм                                                                                                                                                             м2        1219.6700       0.301600           367.8524720000        1
С1145-0202-0105   19           Мастика сантехническая                                                                                                                                                                                                                                   кг        183.0200        2.000000           366.0400000000        1
С1205-0409-0002   13           Сжимы типа У731М для магистральных и ответвительных проводов и кабелей                                                                                                                                                                                   100 шт    4428.8600       0.082000           363.1665200000        1
С1052-0201-0032   30           Блоки бетонные с вырезом для стен подвалов типа ФБВ, бетон В7,5                                                                                                                                                                                          м3        98283.8800      3.681800           361861.5893840000     1
СТПрайс-лист      13           Клапан регулирующий КВК-125М                                                                                                                                                                                                                             шт        903.6000        4.000000           3614.4000000000       1
С1111-0306-0071   19           Доска обрезная хвойных пород, естественной влажности, длина 2-6,5 м, ширина 100-250 мм, толщина 25 мм, сорт III                                                                                                                                          м3        27676.2500      1.300800           36001.2660000000      1
С1017-1503-0014   19           Болты стальные с шестигранной головкой, в комплекте с шестигранной гайкой и плоской круглой шайбой, диаметр резьбы М16, длина болта 25-200 мм                                                                                                            т         255187.2000     0.014100           3598.1395200000       1
СТПрайс-лист      13           Клапан регулирующий КВК-315М                                                                                                                                                                                                                             шт        3592.8000       1.000000           3592.8000000000       1
ТПрайс-лист       14           Диффузор DVS Ф100 мм                                                                                                                                                                                                                                     шт        359.0000        1.000000           359.0000000000        1
С1111-0301-0001   19           Бруски строганные хвойных пород (сосна, ель), сухие, размеры 50х50 мм, сорт АВ                                                                                                                                                                           м3        70308.6400      0.050700           3564.6480480000       1
СТПрайс-лист      13           Диффузор вытяжной DVS-160                                                                                                                                                                                                                                шт        177.5000        2.000000           355.0000000000        1
С1017-1107-0227   19           Электроды сварочные для сварки низколегированных и углеродистых сталей УОНИ 13/45, Э42А, диаметр 4-5 мм                                                                                                                                                  кг        197.7800        1789.325865        353892.8695797000     6
С1017-1514-0166   19           Шурупы самонарезающие стальные с полукруглой головкой и прямым шлицем, остроконечные, диаметр 5 мм, длина 35 мм                                                                                                                                          т         178948.0000     0.000200           35.7896000000         1
С1017-1902-0051   19           Кольца резиновые уплотнительные для полипропиленовых труб, диаметр 50 мм                                                                                                                                                                                 100 шт    1078.3200       0.324516           349.9320931200        1
С1243-0411-0030   21           Слив гофрированный для унитаза из армированного полипропилена с резиновым уплотнителем, диаметр выпуска 110 мм, длина 500 мм                                                                                                                             шт        348.9200        10.000000          3489.2000000000       1
С1017-1902-0052   19           Кольца резиновые уплотнительные для полипропиленовых труб, диаметр 110 мм                                                                                                                                                                                100 шт    2705.1500       1.277772           3456.5649258000       1
С291-1701-001     37           Выпрямители сварочные, сварочный ток до 350 А, количество постов 8                                                                                                                                                                                       маш.-ч    348.0700        9.823744           3419.3505740800       2
С1013-0209-0022   19           Пропан-бутан смесь техническая                                                                                                                                                                                                                           кг        111.5300        0.309000           34.4627700000         1
С1145-0202-0105   19           Мастика сантехническая                                                                                                                                                                                                                                   кг        168.7900        2.000000           337.5800000000        1
С30506-102-0001   12           Перевозка грузов I класса автобетоносмесителями объемом барабана до 6 м3 по дорогам с переходным (булыжным, щебеночным, гравийным) дорожным покрытием на расстояние 1 км                                                                                 1т груза  440.1000        750.000000         330075.0000000000     1
С1017-1514-0171   19           Шурупы самонарезающие стальные с полукруглой головкой и прямым шлицем, остроконечные, диаметр 6 мм, длина 60 мм                                                                                                                                          т         169486.0000     0.000200           33.8972000000         1
С1017-1514-0101   19           Шурупы самонарезающие стальные с шестигранной головкой, пресс-шайбами, резиновыми прокладками, наконечник сверло, диаметр 4,8 мм, длина 25 мм                                                                                                            100 шт    128.9800        254.620800         32840.9907840000      1
С1081-0211-0001   19           Поковки из квадратных заготовок, масса 1,5-4,5 кг                                                                                                                                                                                                        т         96348.7100      0.335065           32283.0805161500      2
С1017-1902-0051   19           Кольца резиновые уплотнительные для полипропиленовых труб, диаметр 50 мм                                                                                                                                                                                 100 шт    1109.1300       0.289728           321.3460166400        1
С291-0605-016     37           Автопогрузчики вилочные, грузоподъемность 5 т                                                                                                                                                                                                            маш.-ч    1746.4100       1.836000           3206.4087600000       1
С1145-0107-1000   19           Герметик однокомпонентный на силиконовой основе, кислотный, универсальный                                                                                                                                                                                л         926.3500        3.410000           3158.8535000000       1
С1084-0102-0011   20           Детали закладные и накладные изготовленные без применения сварки, гнутья, сверления (пробивки) отверстий, поставляемые отдельно                                                                                                                          т         187875.0000     0.016380           3077.3925000000       1
С1145-0107-1000   19           Герметик однокомпонентный на силиконовой основе, кислотный, универсальный                                                                                                                                                                                л         888.6900        3.410000           3030.4329000000       1
С1145-0105-0013   19           Герметик пенополиуретановый (пена монтажная) противопожарный для мест с повышенными требованиями пожарной безопасности, объем 880 мл                                                                                                                     шт        576.3400        5.233200           3016.1024880000       1
С1083-0306-0012   20           Проволока стальная низкоуглеродистая вязальная                                                                                                                                                                                                           т         151657.0000     0.019851           3010.5431070000       2
С1017-1514-0171   19           Шурупы самонарезающие стальные с полукруглой головкой и прямым шлицем, остроконечные, диаметр 6 мм, длина 60 мм                                                                                                                                          т         151108.0000     0.000200           30.2216000000         1
С1017-0612-0008   19           Ленты изоляционные из ПВХ с липким слоем с одной стороны для электромонтажных и ремонтных работ, цвет синий, ширина 15 мм, толщина 0,2 мм                                                                                                                м         0.8800          3.640000           3.2032000000          1
С1083-0701-0052   20           Прокат стальной горячекатаный полосовой, марки стали Ст3сп, Ст3пс, размеры 50х5 мм                                                                                                                                                                       т         78881.4400      0.000040           3.1552576000          1
С1145-0603-0002   13           Паста антисептическая                                                                                                                                                                                                                                    т         415992.1100     0.007211           2999.7191052100       1
С1201-0223-0082   13           Перемычки гибкие, тип ПГС-50                                                                                                                                                                                                                             10 шт     1497.5300       0.200000           299.5060000000        1
С402-100-04       50           Рабочий 4 разряда                                                                                                                                                                                                                                        чел.-ч    1392.5500       212.338126         295691.4573613000     2
С1017-1507-0024   19           Дюбели полиэтиленовые распорные, диаметр 8 мм, длина 40 мм                                                                                                                                                                                               1000 шт   730.9300        0.040000           29.2372000000         1
С1084-0206-0003   20           Сетка сварная из холоднотянутой проволоки, диаметр 4-5 мм                                                                                                                                                                                                т         84407.2800      34.058503          2874785.5991018400    1
С1017-1904-0031   19           Прокладки резиновые (пластина техническая прессованная)                                                                                                                                                                                                  кг        309.8400        923.988776         286288.6823558400     2
С1111-0301-0064   19           Бруски обрезные хвойных пород (ель, сосна), естественной влажности, длина 2-6,5 м, ширина 20-90 мм, толщина 20-90 мм, сорт IV                                                                                                                            м3        20700.0000      1.373399           28429.3593000000      1
С1203-0303-0024   13           Светильник настенный с рассеивателем из силикатного стекла шаровой формы с косым основанием, тип цоколя E27, мощность 1х60 Вт, IP20                                                                                                                      шт        94.7400         3.000000           284.2200000000        1
С401-100-44       50           Средний разряд работы 4,4                                                                                                                                                                                                                                чел.-ч    1803.9400       15.649200          28230.2178480000      1
С1113-0315-0021   19           Клинья пластиковые монтажные                                                                                                                                                                                                                             100 шт    673.8400        415.960000         280290.4864000000     1
С1017-1503-0042   19           Болты с гайками и шайбами строительные                                                                                                                                                                                                                   кг        282.3600        0.100000           28.2360000000         1
С1017-0713-0011   19           Порошок кислотоупорный                                                                                                                                                                                                                                   т         42813.3500      653.632797         27984209.7094399500   1
С1112-1106-0003   19           Фанера березовая облицованная пленкой с двух сторон, имеющая гладкую поверхность с обеих сторон, сорт III/III, толщина 21 мм                                                                                                                             м3        66067.7100      42.181860          2786858.8937406000    2
С401-100-32       50           Средний разряд работы 3,2                                                                                                                                                                                                                                чел.-ч    1267.8500       21868.170872       27725560.4400652000   1
С1642-0301-1026   14           Блок внутренний для кондиционера, холодопроизводительность 2,8 кВт, теплопроизводительность 3,2 кВт, потребляемая мощность 0,03 кВт, для помещения площадью до 28 м2                                                                                     шт        55406.9000      5.000000           277034.5000000000     1
С1072-0712-0011   31           Металлоконструкции зданий и сооружений с преобладанием гнутых профилей и круглых труб                                                                                                                                                                    т         201041.6700     13.742998          2762915.2687266600    2
